"","x"
"1","indexed"
"2","reference-count"
"3","publisher"
"4","issue"
"5","content-domain"
"6","short-container-title"
"7","cited-count"
"8","published-print"
"9","DOI"
"10","type"
"11","created"
"12","page"
"13","source"
"14","title"
"15","prefix"
"16","volume"
"17","author"
"18","member"
"19","container-title"
"20","original-title"
"21","deposited"
"22","score"
"23","subtitle"
"24","short-title"
"25","issued"
"26","alternative-id"
"27","URL"
"28","ISSN"
"29","citing-count"
"30","subject"
"31","license"
"32","published-online"
"33","link"
"34","archive"
"35","ISBN"
"36","editor"
"37","issn-type"
"38","update-policy"
"39","funder"
"40","assertion"
"41","abstract"
"42","article-number"
